iter	Passed	Remaining
0	136	68050
1	142	35411
2	148	24523
3	154	19170
4	161	15948
5	168	13900
6	174	12268
7	178	11004
8	185	10107
9	191	9366
10	197	8782
11	202	8248
12	207	7787
13	213	7413
14	217	7040
15	222	6731
16	227	6474
17	233	6246
18	237	6020
19	243	5842
20	248	5669
21	252	5494
22	257	5332
23	261	5188
24	265	5045
25	269	4921
26	273	4799
27	278	4698
28	282	4587
29	286	4484
30	289	4386
31	294	4306
32	297	4216
33	301	4136
34	306	4074
35	310	4005
36	314	3933
37	317	3864
38	321	3800
39	325	3748
40	330	3694
41	333	3637
42	338	3594
43	342	3550
44	346	3505
45	350	3460
46	354	3416
47	358	3373
48	361	3331
49	366	3294
50	369	3254
51	373	3221
52	377	3181
53	381	3149
54	384	3113
55	388	3080
56	392	3049
57	395	3015
58	399	2988
59	404	2966
60	408	2936
61	411	2909
62	415	2883
63	419	2857
64	423	2832
65	426	2805
66	431	2787
67	433	2753
68	437	2731
69	440	2708
70	444	2686
71	448	2665
72	451	2642
73	455	2620
74	458	2600
75	462	2579
76	466	2564
77	470	2545
78	474	2527
79	477	2506
80	481	2489
81	484	2470
82	488	2453
83	493	2442
84	497	2431
85	502	2417
86	505	2401
87	509	2384
88	512	2368
89	516	2354
90	520	2341
91	524	2324
92	528	2312
93	532	2299
94	536	2285
95	539	2272
96	543	2257
97	546	2242
98	550	2230
99	571	2286
100	576	2279
101	581	2268
102	585	2257
103	592	2257
104	599	2254
105	606	2253
106	613	2252
107	619	2249
108	625	2243
109	630	2237
110	635	2228
111	640	2218
112	645	2210
113	650	2202
114	654	2192
115	659	2184
116	663	2171
117	667	2162
118	671	2150
119	676	2141
120	681	2134
121	685	2125
122	690	2115
123	694	2105
124	698	2096
125	702	2086
126	704	2069
127	706	2052
128	710	2042
129	714	2032
130	718	2022
131	721	2011
132	725	2003
133	729	1993
134	734	1984
135	737	1974
136	741	1965
137	746	1957
138	749	1947
139	753	1938
140	757	1928
141	761	1920
142	766	1912
143	770	1905
144	775	1898
145	779	1890
146	781	1877
147	785	1867
148	788	1858
149	793	1850
150	796	1841
151	798	1827
152	802	1818
153	805	1810
154	809	1802
155	813	1794
156	817	1786
157	820	1776
158	824	1769
159	828	1760
160	832	1752
161	835	1742
162	838	1734
163	842	1725
164	846	1718
165	850	1711
166	854	1703
167	858	1697
168	862	1688
169	865	1680
170	870	1674
171	874	1667
172	878	1659
173	882	1653
174	885	1645
175	890	1639
176	893	1631
177	897	1622
178	900	1615
179	904	1608
180	909	1602
181	914	1598
182	918	1591
183	922	1585
184	926	1577
185	930	1570
186	934	1563
187	938	1557
188	943	1551
189	947	1545
190	951	1538
191	954	1531
192	958	1524
193	961	1516
194	965	1510
195	969	1503
196	974	1499
197	979	1494
198	984	1489
199	988	1483
200	993	1477
201	997	1471
202	1002	1466
203	1007	1461
204	1010	1454
205	1015	1448
206	1018	1442
207	1023	1436
208	1027	1431
209	1032	1425
210	1036	1419
211	1041	1415
212	1048	1412
213	1052	1407
214	1056	1400
215	1061	1395
